uid;designation;ingredients
e70d347d-5e91-4e0f-b396-b9bb4b09da29;Galette des rois à la crème frangipane avec fève 400 g PASQUIER;"Crème frangipane 39% (sucre, BEURRE pâtissier, AMANDES en poudre 5,8%, eau, farine de BLE, OEUFS frais, poudre de LAIT
écrémé, poudres à lever: diphosphates et carbonates de sodium, arôme naturel) - Farine de BLE - BEURRE pâtissier - Eau - Lactoserum (LAIT) et
protéines de LAIT - OEUFS frais - Sel - Agent de traitement de la farine: L-cystéine.
Ce produit contient : BEURRE, AMANDES, BLÉ, OEUFS, LAIT.
Ce produit a pu être en contact avec : Arachide, Soja, Fruits à coque."
70500268-802d-4211-93ba-9edbf6e0e7a3;"COLIS KERMESSE 2019  A.P "" 22+8""";"TAGADA
sucre; sirop de glucose; gélatine; acidifiant: acide citrique; arôme; colorants: curcumine, carmins, carotènes végétaux.
DRAGIBUS SO
sirop de glucose; sucre; amidon; dextrose; acidifiants: acide citrique, acide malique; correcteurs d'acidité: citrate monosodique, malate acide de sodium; arôme; colorants: curcumine, bleu patenté V, charbon végétal, carotènes végétaux, anthocyanes; agent d'enrobage: cire de carnauba.
HAPPY COLA
sirop de glucose; sucre; gélatine; dextrose; acidifiant: acide citrique; sirop de caramel; arôme; agents d'enrobage: cire d'abeille blanche et jaune, cire de carnauba.
MAO CROQUI
sucre; sirop de glucose; graisse de palme; humectant: sirop de sorbitol; acidifiant: acide citrique; gélatine; arôme; concentrés de fruits et de plantes: citron, carthame, spiruline, cassis, carotte, radis, pomme; correcteur d'acidité: carbonate acide de sodium; agent d'enrobage: cire d'abeille blanche et jaune; antiagglomérant: talc; sirop de sucre  nverti. Tenir à
l'abri de la chaleur et de
l'humidité.""
HAPPY CHERRY
sirop de glucose; sucre; gélatine; dextrose; acidifiant: acide citrique; arôme; concentrés de fruits et de plantes: pomme, kiwi, épinard, ortie; extrait de fruit (caroube); sirop de sucre inverti; colorant: carmins; agents d'enrobage: cire d'abeille blanche et jaune, cire de carnauba. Tenir à l'abri de la chaleur et de l'humidité.""
GOLDBEARS
sirop de glucose; sucre; gélatine; dextrose; acidifiant: acide citrique; jus de fruits concentrés: pomme, orange, citron, fraise, framboise, ananas; arôme; concentrés de fruits et de plantes: carthame, spiruline, pomme, kiwi, orange, baie de sureau, citron, mangue, fruit de la passion, cassis, aronie, raisin; agents d'enrobage: cire d'abeille blanche et  jaune, cire de carnauba. Tenir à l'abri de la chaleur et de l'humidité.""
FRAIZIBUS
sucre; sirop de glucose; amidon; acidifiant: acide citrique; correcteur d'acidité: citrate monosodique; arôme; colorants: curcumine, carotènes végétaux, bleu patenté V, anthocyanes, charbon végétal; agent d'enrobage: cire de carnauba.
CROCOPIK
sirop de glucose; sucre; gélatine; dextrose; acidifiants: acide citrique, acide malique; agent d'enrobage: cire de carnauba; correcteurs d'acidité: citrate tricalcique, malate acide de sodium; arôme; concentrés de fruits et de plantes: citron, carthame; sirop de sucre inverti; colorants: bleu patenté V, carotènes végétaux, lutéine, anthocyanes.
CROCO
sirop de glucose; sucre; dextrose; gélatine; acidifiant: acide citrique; concentrés de fruits et de plantes: carthame, spiruline, pomme; sirop de sucre inverti; arôme; colorants: carotènes végétaux, lutéine, anthocyanes; agents d'enrobage: cire d'abeille blanche et jaune, cire de carnauba. Tenir à l'abri de la chaleur et de l'humidité.""
LANGUE ACIDE
sirop de glucose; sucre; amidons transformés; acidifiants: acide citrique, acide malique; correcteurs d'acidité: citrate tricalcique, malate acide de sodium; agent d'enrobage: cire de carnauba; arôme; concentrés de fruits et de plantes: carthame, citron; colorants: carmins, bleu patenté V, lutéine; sirop de sucre inverti. Tenir à l'abri de la chaleur et de l'humidité.""
WORMS
sirop de glucose; sucre; eau; gélatine; acidifiant: acide citrique; arôme; concentrés de fruits et de plantes: carthame, spiruline, pomme, kiwi, carotte, hibiscus, cassis, baie de sureau, aronie, raisin, orange, citron, mangue, fruit de la passion; extrait de baie de sureau; sirop de caramel; agents d'enrobage: cire d'abeille blanche et jaune, cire de carnauba.
OEUF AU PLAT
sirop de glucose; sucre; dextrose; gélatine; acidifiant: acide citrique; arôme; colorants: carotènes végétaux, anthocyanes; agents d'enrobage: cire d'abeille blanche et jaune, cire de carnauba. Tenir à l'abri de la chaleur et de l'humidité.""
LES SCHTROUM
sirop de glucose; sucre; gélatine; dextrose; acidifiant: acide citrique, acide malique, acide tartrique; arôme; colorants: bleu patenté V, charbon végétal, lutéine, carotènes végétaux, anthocyanes; agents d'enrobage: cire d'abeille blanche et jaune, cire de carnauba. Tenir à l'abri de la chaleur et de l'humidité.""
ACADEMY PIK
sirop de glucose; sucre; gélatine; dextrose; acidifiants: acide citrique, acide malique; agent d'enrobage: cire de carnauba; correcteurs d'acidité: citrate tricalcique, malate acide de sodium; arôme; concentrés de fruits et de plantes: spiruline, patate douce, radis, carthame, citron; sirop de sucre inverti; colorants: anthocyanes, carotènes végétaux, lutéine, bleu patenté V. Tenir à l'abri de la chaleur et de l'humidité.""
CHERRY PIK
sirop de glucose; sucre; gélatine; dextrose; acidifiants: acide citrique, acide malique; agent d'enrobage: cire de carnauba; correcteurs d'acidité: citrate tricalcique, malate acide de sodium; arôme; concentrés de fruits et de plantes: citron, carthame; colorants: bleu patenté V, anthocyanes; sirop de sucre inverti. Tenir à l'abri de la chaleur et de l'humidité.""
MIAMI PIK
sucre; sirop de glucose; amidon de maïs; humectant: sirop de sorbitol; farine de blé; eau; acidifiants: acide citrique, acide malique; correcteurs d'acidité: citrate tricalcique, malate acide de sodium; agent d'enrobage: cire de carnauba; émulsifiant: monoet diglycérides d'acides gras; arôme; concentrés de fruits et de plantes: cassis, baie de sureau, aronie, raisin; extrait de baie de sureau; colorants: curcumine, bleu patenté V.
FLANBOTTI
sucre; sirop de glucose; dextrose; gélatine; acidifiant: acide citrique; arôme; sirop de caramel; colorants: charbon végétal, lutéine; agents d'enrobage: cire d'abeille blanche et jaune, cire de carnauba.
HAPPY COLA
sirop de glucose; sucre; gélatine; dextrose; acidifiant: acide citrique; sirop de caramel; arôme; agents d'enrobage: cire d'abeille blanche et jaune, cire de carnauba. Tenir à l'abri de la chaleur et de l'humidité.""
PERSICA
sucre; sirop de glucose; gélatine; acidifiant: acide citrique; arôme; concentré de fruits et de plantes: citron, carthame, pomme, cassis, baie de sureau, aronie, raisin; extrait de baie de sureau; sirop de sucre inverti. Tenir à l'abri de la chaleur et de l'humidité.""
OASIS
sirop de glucose; sucre; gélatine; dextrose; jus de fruits concentrés 4,5 % (équivalent fruits 17 %): raisin, pomme, poire, orange, citron; acidifiant: acide citrique; concentrés de fruits et de plantes: carthame, spiruline, pomme; arômes naturels; colorants: carotènes végétaux, lutéine, anthocyanes; sirop de sucre inverti; agents d'enrobage: cire d'abeille blanche et jaune, cire de carnauba. Tenir à l'abri de la chaleur et de l'humidité.""
LOVE PIK
sirop de glucose; sucre; humectant: sirop de sorbitol; eau; gélatine; acidifiants: acide citrique, acide malique; correcteurs d'acidité: citrate tricalcique, malate acide de sodium, citrate trisodique; agent d'enrobage: cire de carnauba; gélifiant: pectine amidée; arôme; concentrés de fruits et de plantes: cassis, baie de sureau, aronie, raisin; extrait de baie de sureau; colorants: bleu patenté V, bleu brillant FCF, anthocyanes. Tenir à l'abri de la chaleur et de l'humidité.""
SUPER FRITES
sirop de glucose; sucre; gélatine; dextrose; acidifiants: acide citrique, acide malique; agent d'enrobage: cire de carnauba; correcteurs d'acidité: citrate tricalcique, malate acide de sodium; arôme; concentrés de fruits et de plantes: citron, carthame; sirop de sucre inverti; colorants: bleu patenté V, carotènes végétaux, lutéine, anthocyanes.
LES SCHTROUM
sirop de glucose; sucre; gélatine; dextrose; acidifiants: acide citrique, acide malique; agent d'enrobage: cire de carnauba; correcteurs d'acidité: citrate tricalcique, malate acide de sodium; arôme; colorants: bleu patenté V, lutéine, anthocyanes.
DENTIER
sucre; sirop de glucose; eau; gélatine; acidifiant: acide citrique; arôme; concentré de radis.
TAGADA PINK
sucre; sirop de glucose; gélatine; acidifiants: acide citrique, acide malique; correcteurs d'acidité: citrate tricalcique, malate acide de sodium; agent d'enrobage: cire de carnauba; arôme; colorant: carmins."
60ab6264-3aae-4f82-8828-9abd606683f5;Ice Tea citron-citron vert en bouteille 50 cl LIPTON ICE TEA;"eau
sucre
etrait de thé noir (1,4g/l)
acidifiant (acide citrique)
jus de citron à base de concentré (0,1%)
arôme
correcteur d'acidité (citrate trisodique)
antioxydant (acide ascorbique)"
380ee776-b92f-4378-a14b-c33622327b09;Couscous blanc BIO en sac 5 kg MARKAL;semoule de blé dur blanche biologique, eau
7a8f6966-3710-4e3e-b656-a0f4eec271d1;Feuilles de vigne farcies au riz en boîte 2/1 ONASSIS;Riz à grain long précuit (65%), feuilles de vignes (15%), eau, huile de soja (10%), oignons, aneth, menthe, sel, condiments, agent correcteur d'acidité : acide citrique
5f3aba4a-b591-43b6-af5d-0d3304b263e3;Spécialité au citron en bouteille verre 70 cl PULCO PROFESSIONNEL;jus de fruits à base de concentrés : citron 54,6% et orange 4,4% (équivalent à 59% de jus reconstitués), eau, pulpes de citron 5%, acidifiant : acide citrique, extrait de citron.
adb90cc7-4b91-4771-b505-61a207cc1f96;Olives vertes piquantes dénoyautées en seau 3,5 kg DE NOTEKRAKER;Olives vertes 98%denoyautées , huile tournesol, piments, sel ,poivre,(cayenne,noire) acides (citrique,LACTIQUE,ascorbique), paprika rouge, poireau, oignon, persil, ail, tomate, bouillon (hydrolysat de protéines, SOYA et maïs, graisse de palme RPSO), noix de muscade, Conservateur :E220.
3caac27c-704b-4f83-9203-482219d73d02;Mélange d'épices italien en boîte 200 g DUCROS;Poivrons rouge et vert, tomate en poudre, ail déshydraté (14,9%), origan (11,8%), oignon déshydraté, marjolaine (5%), paprika, basilic, poivre noir, huile de tournesol, antiagglomérant: dioxyde de silicium.
9b4cd824-bbb4-4cc9-be85-790988a803fd;Entremet parfum caramel en sachet 1 kg NUTRACY;Sucre, texturants : alginate de sodium, carraghénane, colorant : caramel E150c, arôme, amidon modifié de pomme de terre.
046cdb1f-1915-4916-8874-902cc5ec73be;Crème de cèpes a la truffe en boîte 4/4 DEMETRA;cèpes 70% (Boletus edulis et respective famille), huile de tournesol, blanquette 5% (Tuber borchii Vitt.), oignon, beurre, sel, protéines du lait, farine de riz, amidon de mais, dextrose, extrait de levure, épices, arôme truffée, arômes naturels, antioxydant: acide l-ascorbique (E 300).
8f7c1e03-64c4-41cd-b557-53e559a39290;Sauce dessert fraise en bouteille 1 kg NESTLÉ DOCELLO;Sirop de glucose, purée de fraises (21%), sirop de sucre inverti, sucre, arôme, amidon modifié, acidifiant (acide citrique), épaississant (pectines), conservateur (sorbate de potassium), colorant (E120).
b3ba5dbb-78cf-40ce-97a3-b7847977e6e7;Mini marshmallows en boîte 150 g VAHINE;Sirop de glucose-fructose, sucre, eau, gélatine (de porc), amidon de maïs, arôme, colorants : E100, E120.
a6c2eeb0-0046-4c1f-998c-d90bbd560f16;Moutarde en stick 10,5 g HEINZ;Eau, graines de moutarde 16%, vinaigre, vinaigre de malt (orge),sucre, sel, miel, épices, arôme naturel, épaississant (gomme xathane), extrait de paprika.
7b4b2030-63f3-416c-b3a7-b20204a748ef;Entremet parfum vanille en sachet 750 g NUTRACY;Sucre, gélifiant : alginate de sodium, maltodextrine de maïs, arômes, épaississant : carraghénane, amidon modifié de pomme de terre, huile de tournesol, colorant : E101ii.
7e5ff57f-5a13-46bf-bb1c-b59b40727515;Thon listao en morceaux au naturel en boîte 4/4 LMC FOOD;Thon, eau, sel
4f83306f-66de-4545-9b12-7790b57b61ae;Nappage miroir neutre en seau 7 kg ANCEL;Sirop de glucose, sucre, eau, stabilisants (E440i, E440ii, E415), acidifiants (E330, E450i), conversateur (E202).
f254910f-8562-431e-a499-cae5e67158b7;Sauce diable en boîte 800 g NEFF MADA;Maltodextrine de blé - Amidon de maïs - Sel - Amidon de pomme de terre - Echalote - Arômes - Sucre - Sirop de glucose de maïs - Tomate - Oignon grillé - Extrait de levure - Huile de colza - Extrait naturel de vinaigre d'alcool - Colorant : E150c - Acidifiant : E330 - Extrait naturel de vin blanc - Ail - Epices.
acba6c83-385c-405a-ac35-96e3c2828683;Purée de cassis sucrée en poche 1 kg LEONCE BLANC;"Cassis 89,3%*1, sucre.
*1 : Variable selon la teneur en sucre initiale du fruit à sa récolte. Tolérance de ± 3%."
bdcf718d-968f-4ad0-bad5-805f5a505c69;Oasis orange en bouteille 2 L OASIS;eau de source 80%, jus de fruits à base de concentrés 12 % (orange 10 %, pomme), sucre, acidifiants : acide citrique et acide malique, arômes, antioxydant : acide  ascorbique, colorant : extrait de paprika.
e6eb7635-748d-424f-a1e2-b47a010a31e0;Muffin Gourmet en sac 10 kg COMPLET;Sucre, amidon de FROMENT, farine de FROMENT, amidon modifié, fibres solubles, poudre à lever : (E450, E500, E341), poudre de LAIT écrémé, émulsifiants : (E471, E472e),  amidon, farine de FROMENT pré gélatinisée, sel, arôme naturel.
30778190-c91f-4942-bf6c-2b07640d4d12;Miso en poudre en boîte 250 g ARIAKE;"Miso (95%) (eau, fèves de soja, riz, sel), extrait de levure, bonite (poisson), fibre de soja.
Contient : poisson, soja"
007f266f-fc64-4bd0-98d1-0d1e5650ec5b;Tarte sablée sucrée au beurre en forme de cœur PIDY;"farine de BLE enrichie (farine de BLE, farine d'ORGE maltée, vitamine B1 & B2, nicotinamide, acide folique, fer), BEURRE 26.73%, sucre, OEUF, sirop de sucre inverti, sel
Fabriqué dans une usine utilisant des FRUITS à COQUE, SOJA et ARACHIDES"
8afeb736-1b04-4aa7-9b25-fa534a177019;Beignet au beurre en sachet 10 kg COMPLET;Farine de blé, beurre en poudre (7 %), sucre, émulsifiants, sel, dextrose, poudre de blancs d'oeufs, lactose, gluten de blé, poudre à lever : (E450, E500), arôme, antioxygène : E300, alpha amylase, hémicellulase.
100c3211-9dc2-48e9-a2d6-0a7384b8ab52;Semoule de blé fine BIO en sac 5 kg MARKAL;blé dur biologique (triticum durum).
42c360ae-7bcc-4671-81b9-f6170eadd007;Jus de rôti de boeuf hyposodé en boîte 800 g NEFF MADA;Amidon de maïs - Arômes - Sirop de glucose de maïs - Huile de colza - Sucre - Oignon grillé - Extrait de levure - Colorant : E150c - Ail - Viande de bœuf 0,4 %.
ecc3c180-51dd-4070-bdfe-abbd3344626d;Moutarde forte de Dijon en tube 105 g REINE DE DIJON;Eau, graines de moutarde, vinaigre d'alcool, sel, acidifiant (acide citrique), antioxydant E 224 (sulfite).
7f8c0f20-50d9-4b18-9c25-4074f10b6f3e;Céleri râpé en boîte 5/1 EPISAVEURS;Céleri rave, eau, vinaigre d´alcool, sel, sucre et antioxydant: E300
19f93f6d-2168-43c5-9713-4be564f51185;CHEDDAR CHEESE SAUCE 1.420 KG;cheddar fondu (44%) (eau, lactosérum, cheddar (5%) (lait, ferments, acidifiant (sulfates de sodium (E514)), enzymes), lait écrémé, maltodextrine, antioxydant (phosphate de sodium (E339)), crème, épaississants (octényle succinate d'amidon sodique (E1450), gomme xanthane (E415)), acidifiant (sulfates de sodium (E514))), eau, huile de palme, épaississants (amidon modifié de tapioca, amidon modifié de maïs), maltodextrine, acidifiants (sulfates de sodium (E514), citrate de sodium (E331), acide phosphorique (E338), acide lactique (E270)), arôme, antioxydant (phosphate de sodium (E339)), colorants (bêta carotène (E160a), annatto (E160b), extrait de paprika (E160c)), émulsifiants (stéaroyl-2-lactylate de sodium (E481), mono et diglycérides d'acides gras alimentaires (E471))
321363df-147c-4e4d-bf1a-c982c0ce9951;Brandade de morue en boîte 5/1 RAYMOND GEOFFROY;Huile de colza, morue (32%), eau, protéines de lait, sel, épaississant : carraghénanes (extrait d'algues marines)
b7a5df3b-42b4-4cde-ae39-18f0e7a5f776;OLIVES NOIRES CONFITES DENOYAUTEES 4/4;Olives, eau, sel, stabilisateur de couleur : E579
81ee31fb-37cc-4093-89cd-5aeaae7c1add;Sauce algérienne en flacon 850 g COLONA;Huile de colza (48 %), sucre, eau, vinaigre, purée de tomates, jaunes d'oeufs (4.4 %), oignons, moutarde (eau, graines de moutarde, sel, vinaigre, curcuma), extraits naturels et aromates, oignons rôtis (1.6 %) (contient blé), sel, antioxydant : extrait de romarin, acidifiant : acide citrique, arômes, colorant : extrait de paprika.
41da4d6f-7e9f-4f95-bf2a-2acdd7138cd9;Ketchup en flacon souple 970 ml CALIFORNIA;Purée de tomates mi réduite (64%), sucre, vinaigre, amidon modifié, sel, acidifiant : acide citrique
00a76c54-b2f6-4c4d-a97e-bd9a9cd2f112;Protéine de soja BIO en sac 10 kg MARKAL;soja jaune biologique (glycine max)
9f7f946c-dd35-41ae-815e-ad3181e96d5d;Spécialité pomme-abricot allégée en coupelle 95 g CHARLES ET ALICE;"Pomme 77% (origine 100% France), abricot 20% (origine 100% France), sucre (origine 100% France), jus concentré de carotte, antioydant: acide ascorbique.
Certains ingrédients de ce produit de proviennent pas de France."
ceeb8b03-8e6d-43f3-9594-410085ce71b3;Barre pâtissière 800 g COQUELIN;Farine de BLÉ - Sucre - OEUFS - Huile de colza - Eau - Blancs d'OEUFs - Sirop de glucose déshydraté - Poudres à lever: diphosphates, carbonates de sodium - Sel - Conservateur : sorbate de potassium - Correcteur d'acidité : acide citrique - Arômes (contient alcool) - colorant : caroténoïdes
820a65ca-5112-404c-a79a-953db0c4e989;Compote poire allégée en boite 5/1 LA PULPE;Poires, sirop de glucose-fructose, acidifiant : acide citrique, antioxydant: acide ascorbique.
7c1d47f4-a2ca-4579-9687-a4e31d97647f;Pois chiches en boîte 1/2 MAINGOURD;Pois chiches, eau, sel.
ce71ed2f-fb3f-48bb-b2c5-b9b911f78adb;Bâton chocolat noir 40% cacao en boîte 1,6 kg CEMOI;"sucre, pâte de cacao, beurre de cacao, émulsifiant : lécithine de tournesol (E322), arôme vanille
cacao : 40%minimum"
6c7987c9-22f1-40d5-99cf-927c31c7db5c;Potage aux 9 légumes en sachet 20 g NEFF MADA;Amidon modifié de pomme de terre - Légumes 34,75 % (pomme de terre, tomate, céleri, pois vert, carotte, oignon, chou-fleur, poireau, épinard) - Sirops de glucose de maïs et de blé - Arômes naturels - Matières grasses végétales : Huile de tournesol, huile de colza - Sucre - Sel - Ail - Protéines de lait - Curcuma.
b8cbe6f9-71d4-4e51-a169-1c163d49a561;Pancake en sachet 1 kg COMPLET;"Farine de FROMENT, poudre de LACTOSERUM, sucre, poudre d'OEUF entier, poudres à lever: (E450, E500), matière grasse LAITIERE, sel.
Peut contenir des traces de : soja, fruits à coques, lupin."
ade044fc-a734-4633-b1fa-8f724e943aeb;Mirabelle dénoyautée au naturel en boîte 2/1 ODENWALD;Mirabelles (55%), eau, acidifiant : acide citrique, antioxydant : acide ascorbique
0e736da3-faa6-4e57-a777-e354e29ac219;Soupe de poissons et langoustines au sel de Guérande en boite en boîte 3/1 BEAUMOULIN;Eau, poissons 35%, langoustines 5% (têtes et pattes), purée de tomates double concentrée, amidon modifié de maïs, oignons, carottes, poireaux, vin blanc, sel de Guérande 1.45%, épices et plantes aromatiques, huile d'olive vierge extra, arôme naturel de crustacés.
4c8fccdb-1c40-479f-84f7-589bd764b59e;PRÉPARATION DÉSHYDRATÉE POUR FLAN 5 PARFUMS ÉDULCORÉ À L'ASPARTAME À CHAUD EN SACHET 150 G ANEPIA;"FRAMBOISE
Maltodextrine, carraghénane E407a, amidon de blé, colorant : jus concentré de betterave E162, édulcorant : aspartame E951* (0.37%), arôme goût framboise (substances aromatisantes, substances aromatisantes naturelles). 
*Contient une source de phénylalanine, ne convient pas aux femmes enceintes.
CAFE
Maltodextrine, café soluble (3.6%), carraghénane E407a, amidon de maïs, colorant : caramel E150d, édulcorant : aspartame E951* (0.38%), arôme goût café (substances  aromatisantes).
*Contient une source de phénylalanine, ne convient pas aux femmes enceintes.
PISTACHE
Maltodextrine, carraghénane E407a, amidon de blé, arôme goût pistache (préparations aromatisantes, substances aromatisantes, substances aromatisantes naturelles),  colorants : extrait de curcuma E100 (0.0017%) et chlorophylle E141, édulcorant : aspartame E951* (0.35%).
*Contient une source de phénylalanine, ne convient pas aux femmes enceintes.
CACAO
Maltodextrine, cacao (15%), amidon de blé, carraghénane E407a, épaississant : xanthane E415, colorant : caramel E150d, édulcorant : aspartame E951* (0.45%), sel.
*Contient une source de phénylalanine, ne convient pas aux femmes enceintes.
VANILLE
Maltodextrine, amidon de maïs, carraghénane E407a, épaississant : gomme xanthane E415, sel, colorants : extrait de curcuma E100 (0.0026%), extrait de rocou E160b (0.001%),  rôme  goût vanille (substances aromatisantes), édulcorant : aspartame E951* (0.3%).
*Contient une source de phénylalanine, ne convient pas aux femmes enceintes."
2b055200-0c27-4274-b976-7ec71de9ad15;Saladière parisienne en coupelle 220 g SAUPIQUET;"Légumes (pommes de terre (14%), carottes (10%), champignons (9%), haricots verts, persil), sauce, thon* (22%).
Composition de la sauce : Eau, huile de tournesol, vinaigre, moutarde de Dijon (eau, graines de moutarde, vinaigre, sel), sel, arômes, amidons transformés de maïs, épaississants : gomme guar et gomme xanthane.
*Euthynnus (Katsuwonus) pelamis"
21233a00-bc20-40fc-acb9-ee2e2321cac2;San Pellegrino Limonata en canette 33 cl SAN PELLEGRINO;
